Key,Id,English(en),French(fr),German(de)
"Acorn",57271746312069120,"Acorn","Acorn","Acorn"
"Acorn Description",57271746983157760,"A strange nut that squirrels find to be the pinnacle of yum.","A strange nut that squirrels find to be the pinnacle of yum.","A strange nut that squirrels find to be the pinnacle of yum."
"Beet",169270453110104064,"Red Beet","Betterave Rouge","Rote Bete"
"Beet Description",169270712376811520,"To think, we could have red sugar in the world and it would be plain ordinary had we decided to make sugar from red beets instead or sugar beets. Some people have no aesthetic forsight.","x","x"
"Blu Strawberri",90628216860499968,"Blu Strawberri","Blu Strawberri","Blu Strawberri"
"Blu Strawberri Description",90628308938055680,"This is as close as we get to knowing what the valley these are found in is named after.
It's a small berry that will restore some <sprite anim=""6,21,12"">.","Ceci est le plus grand indice pour savoir pourquoi la vallée dans laquelle on trouve ces baies detient le meme nom que celle-ci.
C'est une petite baie qui redonne un peu de <sprite anim=""6,21,12"">.","xx"
"Blu Strawberri Plant",117118125804675072,"Blu Strawberri","Blu Strawberri","Blu Strawberri"
"Carrot",479343468544,"Carrot","Carotte","Karotte"
"Carrot Description",482707300352,"A crunchy snack, with lots of snap to it!","Un cassecroûte croquant, avec beaucoup de craquant !","Ein knuspriger Snack, mit ordentlichem Biss!"
"Cassava",57269032094064640,"Cassava","Cassava","Cassava"
"Cassava Description",57269104219316224,"So... Tapioca... yeah.","Alors... du Tapioca... Ouais.","So... Tapioca... yeah."
"Chili",1191817306112,"Chili","Piment","Chilischote"
"Chili Description",1195567013888,"A spicy capsicum fruit! ","Un fruit de capsicum épicé !","Eine scharfe Paprikafrucht!"
"Corn",1744169394176,"Corn","Maïs","Mais"
"Corn Description",1750037225472,"An ear of corn, I bet it's a great listener!","Un épi de maïs, je parie qu'il est un excellent auditeur !","Eine Maiskolben, ich wette, er ist ein großartiger Zuhörer!"
"Ginger",57264226860326912,"Ginger","Gingembre","Ginger"
"Ginger Description",57264316551323648,"Feels spicy and cool at the same time! It'll clear your nostrils and reinforce your Bounce!","Feels spicy and cool at the same time! It'll clear your nostrils and reinforce your Bounce!","Feels spicy and cool at the same time! It'll clear your nostrils and reinforce your Bounce!"
"Juice BerryBerri",166720291074531328,"BerryBerri Juice","BerryBerri Juice","BerryBerri Juice"
"Juice BerryBerri Description",166720374159499264,"This, now this, is the peak fruit-juice. Double the fruit, double the Berri, and you've got yourself a BerryBerri.","x","x"
"Juice Blu Strawberri",113448361706184704,"Blu Strawberri Juice","Jus de Blu Strawberri","Blu StrawberriSaft"
