Key,Id,English(en),French(fr),German(de)
"Burlap",669752287232,"Burlap","Toile de jute","Sackleinen"
"Burlap Description",805106671616,"A piece of burlap. It'd be great as a bag for potatoes... or coffee","Un morceau de toile de jute. Ça serait parfait comme sac pour les pommes de terre... ou le café.","Ein Stück Sackleinen. Es wäre perfekt als Beutel für Kartoffeln... oder Kaffee."
"Chalcocite",48827077287936,"Chalcocite","Chalcocite","Chalkocit"
"Chalcocite Description",48828973113344,"If you can smelt this you'll get some copper.","Si vous pouvez fondre cela, vous obtiendrez du cuivre.","Wenn Sie dies schmelzen können, erhalten Sie etwas Kupfer."
"Clay",49360559202304,"Clay","Argile","Ton"
"Clay Description",49362421473280,"Clay! Make a bowl? or something? I guess?","Argile ! Fabriquer un bol ? Ou quelque chose ? Je suppose ?","Ton! Einen Becher? Oder so etwas? Nehme ich an?"
"Cloth",1782635356160,"Cloth","Tissu","Stoff"
"Cloth Description",1824288989184,"A piece of cloth. You can't wear clothes if you're not clothed. But you can't change clothes anyways, so...","Un morceau de tissu. Vous ne pouvez pas porter des vêtements si vous n'êtes pas habillé. Mais de toute façon, vous ne pouvez pas changer de vêtements, alors...","Ein Stück Stoff. Du kannst keine Kleidung tragen, wenn du nicht bekleidet bist. Aber du kannst sowieso keine Kleidung wechseln, also..."
"Coal",49095697293312,"Coal","Charbon","Kohle"
"Coal Description",49097576341504,"Charcoal, dark and sooty, it can create high temperatures.","Le charbon de bois, sombre et suieux, peut atteindre des températures élevées.","Holzkohle, dunkel und rußig, kann hohe Temperaturen erzeugen."
"Copper",49894049505280,"Copper","Cuivre","Kupfer"
"Copper Description",49852572033024,"An orangey metal, kinda shinny, and might turn green! Though, I wouldn't count on it.","Un métal orangé, plutôt brillant, et il pourrait devenir vert ! Cependant, je ne compterais pas là-dessus.","Ein orangefarbenes Metall, ziemlich glänzend, und es könnte grün werden! Obwohl ich nicht darauf wetten würde."
"Dynamiblob",5058554552320,"Dynamiblob","Dynamoamas","Dynamofleck"
"Dynamiblob Description",5062589472768,"A dynamiblob...? Used to generate energy in certain crafting stations.","Un dynamoamas...? Utilisé pour générer de l'énergie dans certaines station de fabrication.","Ein Dynamofleck...? Wird zur Energieerzeugung in bestimmten Handwerksstationen verwendet."
"Fiber",5363522396160,"Fiber","Fibre","Faser"
"Fiber Description",5366219333632,"Plain old fiber, probably from a fibrous plant. I bet you could make some usefull things with it!","De la simple fibre, probablement d'une plante fibreuse. Je parie que vous pourriez en fabriquer des choses utiles !","Einfache Faser, wahrscheinlich von einer faserigen Pflanze. Ich wette, du könntest damit nützliche Dinge herstellen!"
"Fibrous Plant",715560364597248,"Fibrous Plant","Plante Fibreuse","Faserpflanze"
"Flax Fibers",32354187403264,"Flax Fibers","Fibres de lin","Leinfasern"
"Flax Fibers Description",32356003536896,"And from the flax, so came the linen...","Et du lin, est ainsi venu le lin...","Und aus dem Flachs entstand so das Leinen..."
"Gunther Crystal",95342661272657920,"Gunther Crystal","Crystal de Gunther","Gunther Crystal"
"Gunther Crystal Description",95342891611250688,"Ooooohhh, sparkly! Useful too!","Ooooohhh, scintillant! Utile aussi!","Ooooohhh, sparkly! Useful too!"
"Gunther Crystal Dust",95658719699329024,"Gunther Crystal Dust","Poussière de Crystal de Gunther ","Gunther Crystal Dust"
"Gunther Crystal Dust Description",95658725185478656,"This fine and sparkly dust has incredible properties, those just still need to be determined.","Cette poussière fine et scintillante a beaucoup de propriétés incroyable, il faut juste déterminé ce qu'elles sont","x"
"Gunther Crystal Shard",95343698930884608,"Gunther Crystal Shard","Eclat de Crystal de Gunther ","Gunther Crystal Shard"
