Key,Id,English(en),French(fr),German(de)
Meet Manuela A,8995051462656,Hello! It's so good to see a new face around here!,Bonjour ! C'est un plaisir de voir un nouveau visage ici !,"Hallo! Es ist so schön, ein neues Gesicht hier zu sehen!"
Meet Manuela B,9181660241920,"I hope you can help us out, we've been stuck in this valley for a while now.","J'espère que tu pourras nous aider, nous sommes coincés dans cette vallée depuis un bon moment.","Ich hoffe, Sie können uns helfen, denn wir sitzen schon seit einiger Zeit in diesem Tal fest."
Meet Manuela C,9191407804416,If we ever get out of here you should come by our house in the village!,"Si jamais on sorts d'ici, tu devrais venir nous voir dans notre maison au village !","Wenn wir hier jemals rauskommen, solltest du bei uns im Dorf vorbeikommen!"
Husband,10314722107392,"Have you met Ramiro, my husband? ","As-tu rencontré Ramiro, mon mari ?","Kennen Sie Ramiro, meinen Mann? "
House A,10523522949120,I sure would like to see our house again.,J'aimerais bien revoir notre maison.,Ich würde unser Haus wirklich gerne wiedersehen.
House B,10544146341888,But I'll admit that Ramiro and I are quite happy here now.,Mais je dois admettre que Ramiro et moi sommes très heureux ici maintenant.,"Aber ich muss zugeben, dass Ramiro und ich hier jetzt sehr glücklich sind."
Campsite Inactive A,10850506694656,I think I saw a campsite around here somewhere. Down in Blu Valley maybe?,"Je crois que j'ai vu un camping dans le coin. Dans la Vallée Blu, peut-être ?","Ich glaube, ich habe hier irgendwo einen Campingplatz gesehen. Vielleicht unten im Blu Valley?"
Campsite Inactive B,10924653600768,"It's pretty broken down, but I think it could be a very useful thing to squeek back in to shape.","Il est assez abîmé, mais je pense qu'il pourrait être très utile de le remettre en état.","Es ist ziemlich kaputt, aber ich denke, es könnte eine sehr nützliche Sache sein, um es wieder auf Vordermann zu bringen."
Campsite Active A,11320637841408,Have you found that campsite yet?,As-tu trouvé ce camping ?,Haben Sie den Campingplatz schon gefunden?
Campsite Active B,11366167011328,I'm pretty sure it was in Blu Valley.,Je suis presque sûr que c'était à la Vallée Blu..,"Ich bin mir ziemlich sicher, dass es in Blu Valley war."
Campsite Complete A,11857584250880,I'm so glad you found the campsite!,Je suis ravie que tu aies trouvé le camping !,"Ich bin so froh, dass ihr den Campingplatz gefunden habt!"
FixFarm Inactive A,5288947671040,Could you help me? We have this perfect spot for a little farm area beside the house.,Tu peux m'aider ? Nous avons un endroit parfait pour une petite ferme à côté de la maison.,Könnten Sie mir helfen? Wir haben den perfekten Platz für einen kleinen Bauernhof neben dem Haus.
FixFarm Inactive B,5325895294976,"I'd love to fix it up for Manuela, she's been collecting seeds to plant there for a while. ","J'aimerais bien l'aménager pour Manuela, cela fait un moment qu'elle collecte des graines pour les planter là. ","Ich würde es gerne für Manuela herrichten, sie sammelt schon seit einiger Zeit Samen, um sie dort einzupflanzen. "
FixFarm Inactive C,5399673102336,"I managed to craft a seed box thats in the house, you can use that one to get the farm area set up.","J'ai réussi à fabriquer une boîte à graines qui se trouve dans la maison, tu peux l'utiliser pour aménager la zone de la ferme.","Ich habe es geschafft, eine Saatgutkiste zu basteln, die sich im Haus befindet, und die du benutzen kannst, um den Farmbereich einzurichten."
FixFarm Active A,6773173444608,Have you had a chance to set that farm area up yet? Manuela sure would like to see it working.,As-tu déjà eu l'occasion d'installer cette ferme ? Manuela aimerait bien la voir fonctionner.,"Hatten Sie schon die Gelegenheit, den Farmbereich einzurichten? Manuela würde gerne sehen, wie es funktioniert."
FixFarm Active B,6828865413120,"I don't know if you've already grabbed the seed box, you'll find it in our shack. ","Je ne sais pas si tu as déjà pris la boîte à graines, tu la trouveras dans notre cabane.","Ich weiß nicht, ob ihr euch die Saatgutkiste schon geholt habt, ihr findet sie in unserer Hütte."
FixFarm Active C,6857000804352,You'll need it to set the farm area up.,Tu en auras besoin pour aménager la ferme.,"Du brauchst sie, um das Farmgebiet einzurichten."
FixFarm Complete A,7537195278336,I can hardly believe it!,J'ai du mal à y croire !,Ich kann es kaum glauben!
FixFarm Complete B,7714740166656,Manuela is utterly enchanted that we now have the farm area!,Manuela est enchantée qu'on aie une ferme !,"Manuela ist ganz verzaubert, dass wir jetzt den Bauernhofbereich haben!"
