Key,Id,English(en),French(fr),German(de)
"MainScene-Terrain/LoadTitlePause/TitleMenu/WelcomeText/Content",1875132342272,"Thank you for showing an interest in my project! Please start a new save for this update.
This is mainly an art project that I have worked on for many years, and will continue to work on for many years to come. I work on it as much as I can as a solo dev, with the incredible help and support of my followers on Twitch.
The game itself is starting to come in to its own. There have been many cute and exciting additions lately, making it an even greater joy to work on! 
I would love some feedback on either <link=""https://twitch.tv/klaxon42""><b>twitch.tv/klaxon42</b></link>, or on the discord server at <link=""https://discord.gg/89wFG3S""><b>discord.gg/89wFG3S</b></link>.
I hope you enjoy what is there so far!","Merci de montrer de l'intérêt pour mon projet ! Veuillez commencer une nouvelle sauvegarde pour cette mise à jour.
Il s'agit principalement d'un projet artistique sur lequel j'ai travaillé pendant de nombreuses années et sur lequel je continuerai à travailler pendant de nombreuses années à venir. Je travaille autant que possible en tant que développeur solo, avec l'incroyable aide et le soutien de mes abonnés sur Twitch.
Le jeu lui-même commence à prendre son propre chemin. Il y a eu de nombreuses ajouts mignons et passionnants récemment, ce qui en fait encore plus un plaisir à travailler !
J'aimerais beaucoup recevoir des commentaires sur <link=""https://twitch.tv/klaxon42""><b>twitch.tv/klaxon42</b></link> ou sur le serveur Discord à l'adresse <link=""https://discord.gg/89wFG3S""><b>discord.gg/89wFG3S</b></link>.
J'espère que vous apprécierez ce qui a été accompli jusqu'à présent !","Vielen Dank für Ihr Interesse an meinem Projekt! Bitte starten Sie eine neue Sicherungskopie für dieses Update.
Dies ist hauptsächlich ein Kunstprojekt, an dem ich viele Jahre gearbeitet habe und an dem ich noch viele Jahre arbeiten werde. Ich arbeite so viel daran, wie ich kann, als Einzelentwickler, mit der unglaublichen Hilfe und Unterstützung meiner Follower auf Twitch.
Das Spiel selbst beginnt, seinen eigenen Weg zu finden. Es gab in letzter Zeit viele niedliche und aufregende Ergänzungen, die es noch freudiger machen, daran zu arbeiten!
Ich würde mich über Feedback entweder auf <link=""https://twitch.tv/klaxon42""><b>twitch.tv/klaxon42</b></link> oder auf dem Discord-Server unter <link=""https://discord.gg/89wFG3S""><b>discord.gg/89wFG3S</b></link> freuen.
Ich hoffe, Ihnen gefällt, was bisher erreicht wurde!"
"MainScene-Terrain/LoadTitlePause/TitleMenu/Text (TMP) (1)",3595493236736,"Developed by 
Julian Thompson","Développé par 
Julian Thompson","Entwickelt von
Julian Thompson"
"MainScene-Terrain/LoadTitlePause/TitleMenu/Buttons/StartNewGameButton/Text (TMP)",6500044562432,"Start","Commencer","Start"
"MainScene-Terrain/LoadTitlePause/TitleMenu/Buttons/LoadCurrentGame/Text (TMP)",6543707267072,"Load","Charger","Laden"
"MainScene-Terrain/LoadTitlePause/TitleMenu/Buttons/ControlsButton/Text (TMP)",6654025850880,"Controls","Contrôles","Steuerung"
"MainScene-Terrain/LoadTitlePause/TitleMenu/Buttons/QuitButton/Text (TMP)",6703560581120,"Quit","Quitter","Beenden"
"MainScene-Terrain/LoadTitlePause/TitleMenu/Buttons/VideoButton/Text (TMP)",7865235988480,"Video","Vidéo","Video"
"MainScene-Terrain/LoadTitlePause/TitleMenu/WelcomeText/Title",351612788334592,"Welcome!","Bienvenu !","Willkommen!"
"MainScene-Terrain/LoadTitlePause/TitleMenu/Buttons/SettingsButton/Text (TMP)",354197377179648,"Settings","Paramètres","Einstellungen"
"MainScene-Terrain/LoadTitlePause/TitleMenu/Warning/Text (TMP)",355719834034176,"A new save will be made using your character name, which you cannot change. However you will be able to change your character's appearance.","Une nouvelle sauvegarde sera créée avec votre nom de personnage, que vous ne pourrez pas changer. Cependant, vous pourrez modifier l'apparence de votre personnage.","Ein neuer Speicherstand wird unter Verwendung Ihres Charakternamens erstellt, den Sie nicht ändern können. Sie können jedoch das Erscheinungsbild Ihres Charakters ändern."
"MainScene-Terrain/LoadTitlePause/TitleMenu/Warning/buttons/StarNewGame/Text (TMP)",355957449744384,"Start","Commencer","Start"
"MainScene-Terrain/LoadTitlePause/TitleMenu/Warning/buttons/Cancel/Text (TMP)",355998868496384,"Cancel
","Annuler","Abbrechen"
"MainScene-Terrain/LoadTitlePause/PauseMenu/Butons/SaveButton/Text (TMP)",357744323911680,"Save","Sauvegarder","Speichern"
"MainScene-Terrain/LoadTitlePause/PauseMenu/Butons/LoadButton/Text (TMP)",357969495121920,"Load","Charger","Laden"
"MainScene-Terrain/LoadTitlePause/PauseMenu/Butons/SettingsButton/Text (TMP)",358067004301312,"Settings","Paramètres","Einstellungen"
"MainScene-Terrain/LoadTitlePause/PauseMenu/Butons/VideoButton/Text (TMP)",358210436915200,"Video","Vidéo","Video"
"MainScene-Terrain/LoadTitlePause/PauseMenu/Butons/ControlsButton/Text (TMP)",358289008812032,"Controls","Contrôles","Steuerung"
"MainScene-Terrain/LoadTitlePause/PauseMenu/Butons/Main Menu/Text (TMP)",358364267208704,"Main Menu","Menu Principal","Hauptmenü"
"MainScene-Terrain/LoadTitlePause/PauseMenu/Butons/QuitButton/Text (TMP)",358774608551936,"Quit","Quitter","Beenden"
"LoadTitlePause/LoadTitlePause/ControlsPanel/controlsTitle",359225487843328,"Controls","Contrôles","Steuerung"
"LoadTitlePause/LoadTitlePause/VideoPanel/videoTitle",359867379933184,"Video","Vidéo","Video"
"LoadTitlePause/LoadTitlePause/VideoPanel/BackButton/Text (TMP)",359970694029312,"Back","Retour","Zurück"
"LoadTitlePause/LoadTitlePause/VideoPanel/GameObject/fullscreen/Text (TMP)",360527085232128,"Fullscreen","Plein écran","Vollbild"
"LoadTitlePause/LoadTitlePause/VideoPanel/GameObject/Auto zoom/Text (TMP)",360729242296320,"Auto zoom reset","Réinitialisation zoom automatique","Automatische Zoomrücksetzung"
"LoadTitlePause/LoadTitlePause/VideoPanel/GameObject/Display HUD/Text (TMP)",362476262187008,"Display HUD","Afficher HUD","HUD anzeigen"
"LoadTitlePause/LoadTitlePause/SettingsPanel/settingsTitle",362802478374912,"Settings","Paramètres","Einstellungen"
"MainScene-Terrain/LoadTitlePause/ControlsPanel/BackButton/Text (TMP)",363664978272256,"Back","Retour","Zurück"
"MainScene-Terrain/LoadTitlePause/SettingsPanel/BackButton/Text (TMP)",364015718555648,"Back","Retour","Zurück"
"MainScene-Terrain/LoadTitlePause/VolumePanel/BackButton/Text (TMP)",364345302769664,"Back","Retour","Zurück"
"MainScene-Terrain/LoadTitlePause/VolumePanel/GameObject/Music/Music title",364528585465856,"Music","Musique","Musik"
"MainScene-Terrain/LoadTitlePause/VolumePanel/GameObject/Effects/Effects title",364666452238336,"Effects","Effets","Effekte"
"MainScene-Terrain/LoadTitlePause/VolumePanel/GameObject/Animals/Animals title",364745057689600,"Animals","Animaux","Tiere"
"MainScene-Terrain/LoadTitlePause/PauseMenu/Saved Alert",767951021596672,"Game Saved","Partie sauvegardée","Spiel gespeichert"
"MainScene-Terrain/GameManager/Canvas (1)/MenuButtonUI/Map/Text (TMP)",769623118635008,"Map","Carte","Karte"
"MainScene-Terrain/GameManager/Canvas (1)/MenuButtonUI/Compendium/Text (TMP)",769862311403520,"Compendium","Recueil","Kompendium"
"MainScene-Terrain/GameManager/Canvas (1)/MenuButtonUI/Inventory/Text (TMP)",770430622818304,"Inventory","Inventaire","Inventar"
"MainScene-Terrain/GameManager/Canvas (1)/MenuButtonUI/Undertakings/Text (TMP)",770626857525248,"Undertakings","Entreprises","Unternehmungen"
"MainScene-Terrain/GameManager/Canvas (1)/CompendiumDisplay/Title",771048628346880,"COMPENDIUMS","RECEUILS","KOMPENDIEN"
"MainScene-Terrain/GameManager/Canvas (1)/CompendiumDisplay/Buttons/AnimalButton/Text (TMP)",771352262402048,"Animals","Animaux","Tiere"
"MainScene-Terrain/GameManager/Canvas (1)/CompendiumDisplay/Buttons/ItemsButton/Text (TMP)",771899224809472,"Items","Articles","Artikel"
"MainScene-Terrain/GameManager/Canvas (1)/CompendiumDisplay/Buttons/RecipeButton/Text (TMP)",772042779058176,"Recipes","Recettes","Rezepte"
"MainScene-Terrain/GameManager/Canvas (1)/CompendiumDisplay/Buttons/NotesButton/Text (TMP)",772181937676288,"Notes",,"Notizen"
"MainScene-Terrain/GameManager/Canvas (1)/CompendiumDisplay/Buttons/GuidesButton/Text (TMP)",772370496806912,"Guides","Guides","Leitfäden"
"MainScene-Terrain/GameManager/Canvas (1)/CompendiumDisplay/RecipeRevealDescription/RecipeRevealDescription/AnimalDescription",773864155570176,"This shows the recipes you will receive by seeing an animal as many times as indicated. Just above is how many times you have already seen the animal.","Cela montre les recettes que vous recevrez en voyant un animal autant de fois qu'indiqué. Juste au-dessus, c'est le nombre de fois que vous avez déjà vu l'animal.","Dies zeigt die Rezepte, die Sie erhalten, wenn Sie ein Tier so oft sehen, wie angegeben. Direkt darüber steht, wie oft Sie das Tier bereits gesehen haben."
"MainScene-Terrain/GameManager/Canvas (1)/CompendiumDisplay/RecipeRevealDescription/RecipeRevealDescription/ResourceDescription",774151670915072,"This shows the recipes you will receive by researching the item. You need the amount shown in your inventory to research the item.","Cela montre les recettes que vous obtiendrez en recherchant l'objet. Vous avez besoin de la quantité indiquée dans votre inventaire pour effectuer la recherche de l'objet.","Das zeigt die Rezepte, die Sie erhalten, indem Sie das Element erforschen. Sie benötigen die im Inventar angegebene Menge, um das Element zu erforschen."
"MainScene-Terrain/GameManager/Canvas (1)/CompendiumDisplay/RecipeRevealDescription/RecipeRevealDescription/RecipeDescription",774335893135360,"These are the ingredients necessary to craft this recipe. If you need Agency to do so it will be indicated above.","Ce sont les ingrédients nécessaires pour fabriquer cette recette. Si vous avez besoin d'Agence pour le faire, cela sera indiqué ci-dessus.","Dies sind die Zutaten, die erforderlich sind, um dieses Rezept herzustellen. Wenn Sie dazu Handlungsfähigkeit benötigen, wird dies oben angezeigt."
"MainScene-Terrain/LoadTitlePause/ControlsPanel/controls",780070945349632,"w-a-s-d ....... movement
space .............. jump
e ....................... interact
lmb .................. use tool
tab .................. inventory
m ...................... map
c ...................... compendium
esc .................. pause","w-a-s-d ....... déplacement
espace ........... saut
e ........................ interagir
lmb ................... utiliser un outil
tab ................... inventaire
m ....................... carte
c ........................ receuils
esc ................... pause","W-A-S-D ....... Bewegung
Leertaste ...... springen
E ......................... interagieren
LMB ................... Werkzeug verwenden
Tab ...................... Inventar
M .......................... Karte
C ........................... Kompendium
Esc ..................... Pause"
"MainScene-Terrain/GameManager/Canvas (1)/InventoryEquipment/EquipmentBoard/Panel/EquipmentName",782551771308032,"Equipment","Équipement","Ausrüstung"
"MainScene-Terrain/GameManager/Canvas (1)/Crafting/Ingredient holder/Text (TMP)",1098581194366976,"Ingredients","Ingrédients","Zutaten"
"MainScene-Terrain/GameManager/Canvas (1)/Crafting/Crafted Item/CraftButton/Text (TMP)",1099049802981376,"Craft","Fabriquer","Herstellen"
"Current time",1117696701292544,"Current time: ","Heure actuelle :","Aktuelle Zeit: "
"Sleep until",1118056308334592,"Sleep until:","Dormir jusqu'à :","Schlafen bis:"
"Slee",1118544877641728,"Sleep","Dors","Schlafen"
"Cancel",1118695096639488,"Cancel
","Annuler","Abbrechen"
"HUD recipe info",1119634167750656,"The recipes you gain from researching items will show here alongside the amount of items needed to research the recipe.","Les recettes que vous obtenez en recherchant des objets apparaîtront ici, à côté de la quantité d'objets nécessaire pour effectuer la recherche de la recette.","Die Rezepte, die Sie durch das Erforschen von Gegenständen erhalten, werden hier zusammen mit der Anzahl der für die Forschung der Rezepte benötigten Gegenstände angezeigt."
"MainScene-Terrain/GameManager/Canvas (1)/ReasearchStationUI/ResearchItem/ResearchItem/ResearchButton/ResearchButtonText",1120390631448576,"Research","Recherche","Forschung"
"MainScene-Terrain/GameManager/Canvas (1)/CharacterChoice/CancelButton/Text (TMP)",1122514056568832,"Cancel","Annuler","Abbrechen"
"MainScene-Terrain/GameManager/Canvas (1)/CharacterChoice/AcceptButton/Text (TMP)",1122674660663296,"Accept","Accepter","Akzeptieren"
"MainScene-Terrain/GameManager/Canvas (1)/CharacterChoice/InputField (TMP)/Text Area/Placeholder",1123530235764736,"name","nom","name"
"MainScene-Terrain/GameManager/Canvas (1)/LoadSelection/LoadButton/Text (TMP)",1124531877502976,"Load","Charger","Laden"
"MainScene-Terrain/GameManager/Canvas (1)/LoadSelection/BackButton/Text (TMP)",1124679969988608,"Back","Retour","Zuruck"
"MainScene-Terrain/GameManager/Canvas (1)/LoadSelection/DeleteButton/Text (TMP)",1125671495065600,"Delete","Supprimer","Löschen"
"MainScene-Terrain/GameManager/Canvas (1)/BallPersonUndertakingDisplay/Button/Text (TMP)",1418525123600384,"Close","Ferme","Schließen"
