Key,Id,English(en),French(fr),German(de)
The grassy knoll,168801394688,The grassy knoll,La butte herbeuse,Der grasige Hügel
The grassy knoll Description,271595397120,"Help me find my special place in the world. I know it's somewhere, but I can't find it! I'm sure it exists though, like maybe on a knoll?","Aidez-moi à trouver ma place spéciale dans le monde. Je sais que c'est quelque part, mais je ne peux pas la trouver ! Je suis sûr que ça existe pourtant, peut-être sur une butte ?","Hilf mir, meinen besonderen Platz zu finden. Ich weiß, er ist irgendwo, aber ich kann ihn einfach nicht finden! Ich bin sicher, dass es den gibt. Vielleicht auf einem Hügel?"
The grassy knoll Complete,312267563008,"You found my special place!! This place seems just like a perfect place for me, I shall stay here, FOREVER!!!!","Vous avez trouvé mon endroit spécial !! Cet endroit semble être parfait pour moi, je vais rester ici, POUR TOUJOURS !!!!","Du hast meinen besonderen Platz gefunden!! Der scheint genau richtig für mich zu sein. Ich werde hier bleiben, FÜR IMMER!!!!"
Dead End Pass,2561832181760,Dead End Pass,Le Passage de l'Impasse,Sackgasse
Dead End Pass Description,2565997125632,"Help me find my special place in the world. I know it's somewhere, but I can't find it! It was high up and had different looking rocks than here... I like my old rocks.","Aidez-moi à trouver ma place spéciale dans le monde. Je sais que c'est quelque part, mais je ne peux pas la trouver ! C'était en hauteur et il y avait des rochers qui avaient un aspect différent de ceux d'ici... J'aimais mes anciens rochers.","Hilf mir, meinen besonderen Platz zu finden. Ich weiß, er ist irgendwo, aber ich kann ihn einfach nicht finden! Er war ganz weit oben und hatte anders aussehende Felsen als hier... Ich mochte meine alten Felsen lieber."
Dead End Pass Complete,2569797165056,"I'm back and I shall stay near my long lost rocks, FOREVER!!!!","Je suis de retour et je vais rester près de mes rochers perdus depuis longtemps, POUR TOUJOURS !!!!","Ich bin zurück und bleibe jetzt in der Nähe meiner lange vermissten Felsen, FÜR IMMER!!!!"
Smelter Schmelter,4322861047808,Smelter Schmelter,Fonderie Schmondrie,Geschmolzene Steine
Smelter Schmelter Description,4325075640320,I heard tell of an item that can turn rock into shiny blocks. I would very much enjoy licking... I mean seeing one.,"J'ai entendu parler d'un objet qui peut transformer des rochers en blocs brillants. J'adorerais en lecher... euh, je veux dire, en voir un.","Ich habe von einem Gegenstand gehört, der Felsen in glänzende Blöcke verwandeln kann. Den würde ich gern mal schlecken... äh, ich meine sehen."
Smelter Schmelter Complete,4326942105600,"I have licked upon the schmelter, as you call it. My life is complete!!! (wait... did I say lick or look?)","J'ai léché le schmondeur, comme vous l'appelez. Ma vie est complète !!! (Attendez... j'ai dit lécher ou regarder ?)","Ich habe über die ""Schmelze"" geschleckt, wie du es nennst. Ich fühle mich so erfüllt!!! (Aber schmeckt gar nicht nach Eiscreme...)"
The spy and the prince,6467429654528,The spy and the prince,L'espion et le prince,Der Spion und der Prinz
The spy and the prince Description,6469493252096,"Help me find my special place in the world. I know it's somewhere, but I can't find it! It was near a fissure in the ground, you know, with purple rain dripping up out of it.","Aidez-moi à trouver ma place dans le monde. Je sais qu'il est quelque part, mais je ne le trouve pas ! C'était près d'une fissure dans le sol, tu sais, avec de la pluie violette qui s'en échappait.","Hilf mir, meinen besonderen Platz zu finden. Ich weiß, er ist irgendwo, aber ich kann ihn einfach nicht finden! Er war in der Nähe einer Erdspalte, aus der violetter Regen tropfte."
The spy and the prince Complete,6472978718720,"My place!!! I shall thank you by staying here, FOREVER!!!!","Ma place !!! Je vous remercierai en restant ici, POUR TOUJOURS !!!!","Mein Platz!!! Ich danke dir, indem ich FÜR IMMER hier bleibe!!!!"
Stick Licker,9850639147008,Stick Licker,Lécheur de bâtons,Stocklecker
Stick Licker Description,9851821940736,"I am looking for a particular stick, I saw one a while ago and it looked like it would taste really good. I, kind anthropomorphic person, wood like to lick that stick. Maybe you can help me find it!","e suis à la recherche d'un bâton particulier, j'en ai vu un il y a quelque temps et il avait l'air d'avoir très bon goût. Moi, personne anthropomorphique, j'aimerais lécher ce bâton. Tu peux peut-être m'aider à le trouver !","Ich bin auf der Suche nach einem bestimmten Stock. Ich habe vor einiger Zeit einen gesehen und er sah aus, als würde er wirklich gut schmecken. Ich, eine anthropomorphe Person, würde gerne an diesem Stock lecken. Vielleicht kannst du mir helfen, ihn zu finden?"
Stick Licker Complete,9853352861696,You helped find the perfect stick... and so I licked!,Vous m'avez aidé à trouver le bâton parfait... et j'ai léché !,Du hast mir den perfekten Stock gefunden... und jetzt hab ich in abgeschleckt!
