Key,Id,English(en),French(fr),German(de)
"The Hungry Wolf",10072154112,"The Hungry Wolf","Le Loup Affamé","Der Hungrige Wolf"
"The Hungry Wolf Description",13939302400,"Grandma wolf has quite a gift when it comes to making comfort-foods. She'll whip up your appetite if you get this place fixed up.","Grand-mère Loup a un don certain pour préparer des plats réconfortants. Elle t'ouvriras l'appétit si tu fais réparer cet endroit.","Oma Wolf hat eine ziemliche Gabe, wenn es darum geht, Wohlfühlgerichte zuzubereiten. Sie wird deinen Appetit anregen, wenn du die Wohnung in Ordnung bringst."
"Alice's Looking Glass",3601158796533760,"Alice's Looking Glass","L'Autre Miroir d'Alice","Alices Anderer Spiegel"
"Alice's Looking Glass Description",3601164421095424,"Alice has an incredible eye for design. She can spruce up your look with her one-of-a-kind looking glass or sell you fancy linens.","Alice a un incroyable sens du design. Elle peut embellir votre look avec son miroir unique ou vous vendre des tissus de luxe.","Alice hat einen unglaublichen Sinn für Design. Sie kann Ihr Aussehen mit ihrem einzigartigen Spiegel verschönern oder Ihnen luxuriöse Stoffe verkaufen."
"Decidedly Dedicated Decorations",11268951222312960,"Decidedly Dedicated Decorations","Décorations Duement Dédié","DDD"
"Decidedly Dedicated Decorations Description",11268957228556288,"Demetrius' decorational decorum is decidedly downright destined to... it's a good place to buy some decorations.","x","x"
"The Root of it All",56576220717441024,"The Root of it All","Les Racines de Tout","The Root of it All"
"The Root of it All Description",56576641406132224,"Veteris has the snout of a god, he can find the best forageables you never thought even existed in this game... World! I mean world.","Veteris a le museau d'un dieu, il peut trouver les meilleures plantes fourragères dont vous n'auriez jamais cru exister dans ce jeu... Monde ! Je veux dire le monde.","Veteris hat die Schnauze eines Gottes, er kann die besten Futtermittel finden, von denen Sie nie gedacht hätten, dass sie in diesem Spiel überhaupt existieren ... Welt! Ich meine Welt."
"Abandoned House",126136124607881216,"Abandoned House","Maison Abandonée","Verlassenes Haus"
"Abandoned House Description",126136360432623616,"Do you want to have a place to call your own? Have you always wanted that place to be an abandoned house? Do you crave decorating, beautifying and other frivolous things? This is the place for you! Don't wait! Or do, it's not going anywhere.","Voulez-vous avoir un endroit qui vous soit propre ? Avez-vous toujours voulu que cet endroit soit une maison abandonnée ? Avez-vous envie de décorer, d'embellir et d'autres choses frivoles ? C'est l'endroit pour vous ! N'attendez pas ! Ou vous pouvez attendre, ça ne va nulle part.","Möchten Sie einen Ort haben, den Sie Ihr Eigen nennen können? Wollten Sie schon immer, dass dieser Ort ein verlassenes Haus ist? Haben Sie Lust auf Dekorieren, Verschönern und andere frivole Dinge? Dann sind Sie hier genau richtig! Warten Sie nicht! Oder tun Sie es, es führt nirgendwo hin."
"A Hatful of Seeds",138462610878685184,"A Hatful of Seeds","Un Chapeau de Graines","Ein Hut voller Samen"
"A Hatful of Seeds Description",138463052610199552,"Ok, so it's not really a hat, but it is a store, and it does sell a bunch of seeds for farming, so yeah, that's a pretty good start. Now we just need some hats.","D'accord, ce n'est pas vraiment un chapeau, mais c'est un magasin, et il vend un tas de graines pour l'agriculture, du coup, on est a mi-chemin déjà, non? Manquerais juste quelques chapeaux.","Ok, es ist also nicht wirklich ein Hut, aber es ist ein Geschäft, und es verkauft eine Menge Samen für den Anbau, also ja, das ist ein ziemlich guter Anfang. Jetzt brauchen wir nur noch ein paar Hüte."
"Ores And Mores",149003710001373184,"Ores And Mores","Ores And Mores","Ores And Mores"
"Ores And Mores Description",149003780276936704,"So yeah, ores, and as you can imagine, ingots, coal, wood, shards... you know, mores.","x","x"
"TAM",162018612601217024,"Thimbleton Museum of Art","Thimbleton Museum of Art","Thimbleton Museum of Art"
"TAM Description",162018633241387008,"This fine arts museum has the best there is to offer in all things artistic. Don't miss out on this fine establishment!","x","x"
"Blu Valley Bridge",162411259568381952,"Blu Valley Bridge","Blu Valley Bridge","Blu Valley Bridge"
"Blu Valley Bridge Description",162411364358873088,"Blu Valley Bridge Description","Blu Valley Bridge Description","Blu Valley Bridge Description"
