Key,Id,English(en),French(fr),German(de)
Find the campsite,129563680768,Find the campsite,Trouve le camping,Finde den Campingplatz
Find the campsite Description,133837676544,"You were told of a campsite somewhere around here, maybe in the valley?","On t'a parlé d'un camping dans les environs, peut-être dans la vallée ?","Dir wurde von einem Campingplatz hier in der Gegend erzählt, vielleicht im Tal?"
Find the campsite Complete,137079873536,You found the campsite. Now camp!,"Tu as trouvé le camping. Maintenant, campe !",Du hast den Zeltplatz gefunden. Zeit zu Zelten!
Fix Manuela's farm,1903175458816,Fix Manuela's farm,Répare la ferme de Manuela,Den Bauernhof von Manuela reparieren
Fix Manuela's farm Description,1904882540544,Find all the materials to fix Manuela's farm. There's a seed box in Manuela and Ramiro's house. You might get something out of it down the line.,Trouve tous les matériaux nécessaires pour réparer la ferme de Manuela. Il y à une boite a garines dans la maison de Manuela et Ramiro. Tu pourras peut-être en tirer quelque chose par la suite.,"Finde alle Materialien, um den Bauernhof von Manuela zu reparieren. xxx. Vielleicht hast du später noch etwas davon."
Fix Manuela's farm Complete,1906702868480,You fixed the farm! When things start to grow maybe you can harvest some things. Or check the seed box before it's emptied by the owners!,"Tu as réparé la ferme ! Quand les choses commenceront à pousser, tu pourras peut-être récolter des choses. Ou vérifier la boîte à graines avant qu'elle ne soit vidée par les propriétaires !","Die Farm sieht wieder benutzbar aus! Wenn die Dinge anfangen zu wachsen, kannst du vielleicht etwas ernten. Oder sieh in der Saatgutkiste nach, bevor sie von den Besitzern geleert wird!"
Talk to Manuela and Ramiro,2565963571200,Talk to Manuela or Ramiro,Parle à Manuela ou Ramiro,Sprich mit Manuela oder Ramiro
Talk to Manuela and Ramiro Description,2568043945984,"You should try to find Manuela or Ramiro, a couple that lives in the shack on the hill. Maybe they can shed some light on where you find yourself.","Tu devrais essayer de trouver Manuela ou Ramiro, un couple qui vit dans la cabane sur la colline. Ils pourront peut-être t'éclairer sur l'endroit où tu te trouves.","Du solltest versuchen, Manuela oder Ramiro zu finden. Sie wohnen zusammen in der Hütte auf dem Hügel. Vielleicht können sie dir sagen, wo du gerade bist."
Talk to Manuela and Ramiro Complete,2569889439744,You found the couple on the hill. They sure were happy to see a new face.,Tu as trouvé le couple sur la colline. Ils étaient heureux de voir un nouveau visage.,"Du hast das Paar auf dem Hügel gefunden! Sie waren sicher froh, ein neues Gesicht zu sehen."
Repair A Hatful Of Seeds,109517966426038000,Repair A Hatful Of Seeds,x,x
Repair A Hatful Of Seeds Description,109518069383619000,Ramiro has asked you to repair his little shop. Why not give it a try and see exactly what it is that he sells.,x,x
Repair A Hatful Of Seeds Complete,109518132398842000,"You fixed up A Hatful Of Seeds, Ramiro's shop! You should see what's for sale there!",x,x
