Key,Id,English(en),French(fr),German(de)
"Find the campsite",129563680768,"Find the campsite","Trouve le camping","Finde den Campingplatz"
"Find the campsite Description",133837676544,"You were told of a campsite somewhere around here, maybe in the valley?","On t'a parlé d'un camping dans les environs, peut-être dans la vallée ?","Dir wurde von einem Campingplatz hier in der Gegend erzählt, vielleicht im Tal?"
"Find the campsite Complete",137079873536,"You found the campsite. Now camp!","Tu as trouvé le camping. Maintenant, campe !","Du hast den Zeltplatz gefunden. Zeit zu Zelten!"
"Fix the big fissure in Blu Valley",907393163264,"Fix the big fissure in Blu Valley","Répare la grande fissure dans la Vallée Blu","Repariere den großen Riss im Blu Valley"
"Fix the big fissure in Blu Valley Description",912300498944,"There is a big fissure in Blu Valley blocking everyone from leaving, and coming in for that matter. You should try to fix it! ","Il y a une grande fissure dans la Vallée Blu qui empêche tout le monde de sortir ou d'entrer dans la vallée. Tu devrais essayer de la réparer ! ","Es gibt einen großen Riss im Tal von Blu, der alle daran hindert, das Tal zu verlassen oder zu betreten. Du solltest versuchen, ihn zu reparieren! "
"Fix the big fissure in Blu Valley Complete",916083761152,"You fixed he big Fissure in Blu Valley! Now everyone can come and go as they please!","Tu as réparé la grande fissure de la Vallée Blu ! Maintenant, tout le monde peut aller et venir à sa guise !","Du hast den großen Riss im Tal von Blu repariert! Jetzt kann jeder wieder kommen und gehen, wie er will!"
"Fix Manuela and Ramiro's farm",1903175458816,"Fix Manuela's farm","Répare la ferme de Manuela","Den Bauernhof von Manuela reparieren"
"Fix Manuela and Ramiro's farm Description",1904882540544,"Find all the materials to fix Manuela's farm. There's a seed box in Manuela and Ramiro's house. You might get something out of it down the line.","Trouve tous les matériaux nécessaires pour réparer la ferme de Manuela. Il y à une boite a garines dans la maison de Manuela et Ramiro. Tu pourras peut-être en tirer quelque chose par la suite.","Finde alle Materialien, um den Bauernhof von Manuela zu reparieren. xxx. Vielleicht hast du später noch etwas davon."
"Fix Manuela and Ramiro's farm Complete",1906702868480,"You fixed the farm! When things start to grow maybe you can harvest some things. Or check the seed box before it's emptied by the owners!","Tu as réparé la ferme ! Quand les choses commenceront à pousser, tu pourras peut-être récolter des choses. Ou vérifier la boîte à graines avant qu'elle ne soit vidée par les propriétaires !","Die Farm sieht wieder benutzbar aus! Wenn die Dinge anfangen zu wachsen, kannst du vielleicht etwas ernten. Oder sieh in der Saatgutkiste nach, bevor sie von den Besitzern geleert wird!"
"Talk to Manuela or Ramiro",2565963571200,"Talk to Manuela or Ramiro","Parle à Manuela ou Ramiro","Sprich mit Manuela oder Ramiro"
"Talk to Manuela or Ramiro Description",2568043945984,"You should try to find Manuela or Ramiro, a couple that lives in the shack on the hill. Maybe they can shed some light on where you find yourself.","Tu devrais essayer de trouver Manuela ou Ramiro, un couple qui vit dans la cabane sur la colline. Ils pourront peut-être t'éclairer sur l'endroit où tu te trouves.","Du solltest versuchen, Manuela oder Ramiro zu finden. Sie wohnen zusammen in der Hütte auf dem Hügel. Vielleicht können sie dir sagen, wo du gerade bist."
